"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"1",114717,0.6144112,0.05488622,0.5217391,0.842,0.8097347,0.03792746,0.03052209,0,0.0722,0.721608,0.5856375,0.003002917,1
"2",47066,0.2752,0.1921842,0.3953488,0.858,0.7807521,0.5606218,0.1636546,0.872,0.171,0.2050251,0.4737333,0.01298139,1
"3",146181,0.7765457,0.04802138,0.9413549,0.387,0.7931309,0.426943,0.08835341,0,0.136,0.3778894,0.5336717,0.03845502,1
"4",128136,0.6787498,0.04436067,0.6926188,0.617,0.8281469,0.1202073,0.3353414,0.000229,0.0878,0.6572864,0.3944946,0.01168457,1
"5",86763,0.4755555,0.06260834,0.8048534,0.524,0.726513,0.05419689,0.004246988,0.689,0.0636,0.2683417,0.4998708,0.003777102,1
"6",25587,0.1560827,0.05569456,0.1456016,0.0564,0.5485641,0.04082902,0.996988,0.0296,0.0939,0.03708543,0.3456975,0.003187251,0
"7",97871,0.533684,0.09588287,0.4074823,0.663,0.7484176,0.05813472,0.1094378,0.646,0.0928,0.1708543,0.3601049,0.002672342,0
"8",118407,0.6355204,0.06243844,0.4661274,0.695,0.8275701,0.06227979,0.1626506,4.3e-05,0.121,0.7748744,0.6449616,0.004351886,1
"9",116772,0.6275833,0.01643192,0.6673407,0.445,0.7315176,0.1212435,0.7078313,0.0124,0.138,0.5527638,0.5664008,0.0297749,0
"10",144490,0.7672882,0.05120716,0.5722952,0.782,0.8687911,0.1150259,0.1124498,0,0.11,0.5005025,0.6779958,0.009738541,1
"11",134811,0.7181905,0.1194121,0.6885743,0.451,0.7465311,0.03243523,0.6365462,0.662,0.157,0.4703518,0.5718359,0.001201716,0
"12",122954,0.6564245,0.06841126,0.6450961,0.72,0.8015965,0.05222798,0.02128514,0,0.123,0.5889447,0.5292745,0.003339327,1
"13",116994,0.6285512,0.03439124,0.487361,0.831,0.7613108,0.06663212,0.8162651,8.29e-06,0.2,0.6643216,0.6562808,0.008257852,1
"14",40169,0.2348346,0.1022466,0.817998,0.921,0.8116835,0.04829016,0.0006957831,0.424,0.0671,0.8643216,0.5295541,0.002084122,1
"15",138386,0.7376374,0.08127645,0.8725986,0.75,0.7908547,0.07606218,0.1405622,0.0892,0.102,0.5708543,0.5296981,0.004110695,1
"16",42916,0.249687,0.06009353,0.7977755,0.649,0.7942846,0.07865285,0.1817269,0.937,0.37,0.3226131,0.4447278,0.00570398,1
"17",65512,0.359921,0.07277686,0.4084934,0.268,0.7852733,0.03533679,0.5853414,0,0.102,0.1246231,0.5701414,0.002127203,0
"18",186333,0.9844317,0.06198993,0.7714863,0.803,0.8775373,0.03637306,0.07118474,0.285,0.348,0.5638191,0.436501,0.00255947,1
"19",19919,0.1157389,0.07771723,0.3609707,0.115,0.6269527,0.04,0.9708835,9.03e-06,0.106,0.5266332,0.4379922,0.002258438,0
"20",78213,0.4334055,0.06452587,0.7967644,0.816,0.8699448,0.06455959,0.04909639,4.71e-06,0.312,0.8824121,0.5508538,0.00436935,1
"21",2705,0.0121682689540038,0.0441204195207622,0.612740141557128,0.754,0.828084562377226,0.032020725388601,0.253012048192771,4.06e-05,0.106,0.695477386934673,0.58478177065903,0.0031287899033828,1
"22",54454,0.310478,0.05146437,0.7209302,0.974,0.8988494,0.2797927,0.1646586,0,0.267,0.7115578,0.3983919,0.02357409,1
"23",101766,0.5529151,0.1246692,0.7381193,0.855,0.7817031,0.04321244,0.006445783,0.601,0.0568,0.9487437,0.5116263,0.001534491,1
"24",13132,0.08144321,0.05462318,0.7886754,0.33,0.8369867,0.09968912,0.6134538,0,0.0971,0.5859296,0.4403009,0.007929669,0
"25",123130,0.6574139,0.0604222,0.6713852,0.716,0.8511584,0.0692228,0.03584337,0.193,0.0962,0.5286432,0.3810403,0.004993614,1
"26",64777,0.3561935,0.03466179,0.4883721,0.883,0.8259019,0.07678756,0.8493976,0.0218,0.784,0.8542714,0.3876489,0.009445946,1
"27",126758,0.6735148,0.03792432,0.7482305,0.562,0.7933803,0.04829016,0.07610442,0,0.0788,0.8824121,0.5162184,0.005453282,1
"28",182184,0.9654129,0.0278406,0.7815976,0.366,0.7530947,0.05367876,0.7369478,0.837,0.144,0.3095477,0.3473665,0.008119532,0
"29",56841,0.3205522,0.06305408,0.6764408,0.484,0.7170964,0.1316062,0.02248996,0,0.0903,0.7407035,0.7062217,0.009108956,1
"30",172995,0.9151495,0.05232915,0.7451972,0.804,0.8469957,0.03502591,0.003654618,0.504,0.14,0.2854271,0.5423263,0.002904036,1
"31",176130,0.9338229,0.04187672,0.917088,0.405,0.8052446,0.4818653,0.247992,0,0.538,0.8603015,0.5843666,0.04949887,1
"32",53040,0.3042211,0.0720817,0.8008089,0.879,0.8479779,0.07668394,0.0009959839,3.71e-05,0.0581,0.9356784,0.6143549,0.004659613,1
"33",127873,0.6777711,0.05544625,0.5975733,0.679,0.8262293,0.09637306,0.5180723,0,0.101,0.8984925,0.9322034,0.007555803,1
"34",69507,0.3852829,0.03157556,0.8311426,0.886,0.8633501,0.2839378,0.04949799,0.792,0.118,0.8241206,0.6360825,0.0381519,1
"35",185519,0.9805747,0.06137457,0.7997978,0.344,0.7373328,0.04849741,0.7640562,3.41e-06,0.12,0.4743719,0.5263811,0.003445833,0
"36",105543,0.5676775,0.06267202,0.6966633,0.479,0.7602351,0.02580311,0.4959839,0.000285,0.0755,0.8180905,0.3364455,0.001796502,0
"37",19681,0.1143033,0.03470267,0.3670374,0.301,0.69435,0.04227979,0.8002008,0.00406,0.0724,0.4371859,0.589861,0.005195193,0
"38",56028,0.3172313,0.04006235,0.7755308,0.867,0.8668423,0.3647668,0.2409639,0,0.269,0.4633166,0.5931737,0.03909161,1
"39",35872,0.199715,0.09005966,0.7310415,0.605,0.8034985,0.04715026,0.0007901606,0.904,0.0958,0.4321608,0.5294863,0.002304709,1
"40",142233,0.7563396,0.07729819,0.7148635,0.427,0.7449721,0.07233161,0.3403614,0,0.105,0.5437186,0.3731271,0.004105528,0
"41",104599,0.5641155,0.06079453,0.793731,0.367,0.8031711,0.03761658,0.1134538,0.0633,0.0902,0.4703518,0.3812733,0.002697471,0
"42",16246,0.0942843,0.02242503,0.7613751,0.24,0.7468585,0.04746114,0.9066265,0.000451,0.109,0.1839196,0.3303962,0.008779667,0
"43",117439,0.6305984,0.04798662,0.5197169,0.698,0.8132737,0.02994819,0.00376506,0.887,0.123,0.6221106,0.675992,0.002699333,0
"44",178231,0.9445016,0.06163957,0.8058645,0.469,0.7779458,0.2051813,0.3433735,0,0.097,0.4110553,0.636019,0.01451769,1
"45",17370,0.1021602,0.06402535,0.4044489,0.518,0.784104,0.03585492,0.3343373,0.00546,0.13,0.0958794,0.3231607,0.002445071,0
"46",7767,0.04789232,0.08662278,0.4499494,0.768,0.7976677,0.03595855,0.012751,2.58e-06,0.0925,0.321608,0.4778297,0.001825925,0
"47",85667,0.4707055,0.07871409,0.7199191,0.625,0.8130242,0.07823834,0.6686747,0.531,0.0839,0.8894472,0.7225228,0.004362761,1
"48",23315,0.1372834,0.07528889,0.6764408,0.324,0.817374,0.03512953,0.4497992,0.00311,0.0956,0.1869347,0.5169555,0.002045873,0
