"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"1",166663,0.8821239,0.02573566,0.7987867,0.333,0.7759814,0.2331606,0.05823293,0.768,0.132,0.7497487,0.6860149,0.03795797,1
"2",10955,0.06920658,0.09314783,0.90091,0.608,0.8133516,0.03803109,0.03383534,0.867,0.0802,0.4914573,0.5253094,0.001798541,1
"3",53061,0.3043434,0.03865563,0.6764408,0.846,0.8425836,0.08176166,0.1656627,0.0234,0.479,0.2522613,0.550875,0.009066492,1
"4",66620,0.3646091,0.07773586,0.5965622,0.695,0.7579277,0.03554404,0.2028112,0,0.0824,0.5065327,0.3962315,0.00200638,1
"5",22607,0.1319872,0.07448807,0.3033367,0.361,0.7762153,0.03772021,0.6305221,0,0.145,0.1879397,0.3739023,0.00221979,0
"6",6631,0.03468424,0.04727839,0.6552073,0.305,0.6120639,0.06735751,0.1596386,0,0.133,0.8271357,0.3694839,0.006158658,0
"7",107222,0.5740242,0.05738129,0.4590495,0.722,0.7969349,0.4031088,0.1586345,0,0.131,0.4773869,0.2850559,0.03057214,1
"8",49210,0.2878972,0.04267949,0.6238625,0.773,0.8492096,0.04673575,0.4297189,0,0.115,0.6532663,0.6358368,0.004714338,1
"9",147357,0.7817555,0.05939587,0.4125379,0.168,0.7357582,0.02611399,0.7931727,0.0158,0.113,0.1125628,0.4066441,0.001915379,0
"10",92441,0.5011477,0.05506863,0.4327604,0.486,0.8441427,0.02829016,0.3273092,7.32e-06,0.127,0.2522613,0.4123715,0.002232705,0
"11",31323,0.1801926,0.04674089,0.60364,0.0842,0.6234449,0.0384456,0.996988,5.9e-05,0.288,0.560804,0.4456852,0.003554045,0
"12",52022,0.2999899,0.05300651,0.7350859,0.546,0.8641452,0.04528497,0.6586345,0,0.122,0.6934673,0.4528148,0.003708277,1
"13",34016,0.1907166,0.07059656,0.5631951,0.59,0.8130398,0.03720207,0.6315261,0.000124,0.118,0.4040201,0.5975286,0.002306873,1
"14",75206,0.4159771,0.07995648,0.5257836,0.348,0.8005207,0.03108808,0.6746988,0,0.735,0.2753769,0.4297146,0.001707225,0
"15",81991,0.454011,0.0676527,0.7553084,0.296,0.7833557,0.04124352,0.7891566,0.000365,0.0663,0.4693467,0.4964649,0.002665783,0
"16",10019,0.06159332,0.05525327,0.6006067,0.547,0.8052134,0.02932642,0.0563253,0,0.083,0.4623116,0.6146345,0.002307007,1
"17",106233,0.5702644,0.03245786,0.6703741,0.779,0.8364566,0.04994819,0.002038153,0,0.113,0.9025126,0.3936939,0.006538869,1
"18",185383,0.9799414,0.03807642,0.4438827,0.883,0.8285367,0.1502591,0.5230924,0,0.318,0.6502513,0.3602955,0.01690375,1
"19",1513,0.00704118933855276,0.0323371782173538,0.78159757330637,0.536,0.816921829690375,0.0871502590673575,0.0275100401606426,0.124,0.329,0.810050251256281,0.377121821239605,0.0114493620746442,1
"20",93490,0.5053214,0.01463173,0.8665319,0.23,0.7386112,0.3544041,0.02178715,0.777,0.106,0.3909548,0.376927,0.09653203,1
"21",54810,0.3119027,0.09807151,0.7482305,0.94,0.8700228,0.2953368,0.125502,8.33e-05,0.132,0.4914573,0.3811801,0.01327875,1
